Название,Категория,Материал,Габариты,Тип монтажа,Фото,Цена
Скамья K076,Скамьи,,,,K076.jpeg,190 000
Скамья K077,Скамьи,,,,K077.jpeg,65 000
Скамья K078,Скамьи,,,,K078.jpeg,860 000
Скамья K079,Скамьи,,,,K079.jpeg,180 000
Скамья K080,Скамьи,,,,K080.jpeg,40 000
Скамья K081,Скамьи,,,,K081.jpeg,65 000
Скамья K082,Скамьи,,,,K082.jpeg,45 000
Скамья K083,Скамьи,,,,K083.jpeg,75 000
Скамья K084,Скамьи,,,,K084.jpeg,90 000
Скамья K085,Скамьи,,,,K085.jpeg,120 000
Скамья K01,Скамьи,,,,K01.jpeg,550 000
Скамья K02,Скамьи,,,,K02.jpeg,600 000
Скамья с теневым навесом K03,Скамьи,,,,K03.jpeg,420 000
Скамья со спинкой K04,Скамьи,,,,K04.jpeg,410 000
Скамья со спинкой K05,Скамьи,,,,K05.jpeg,"580 000,00"
Скамья модульная K06,Скамьи,,,,K06.jpeg,"710 000,00"
Скамья Весна K07,Скамьи,,,,K07.jpeg,"710 000,00"
Скамья лежанка K08,Скамьи,,,,K08.jpeg,"290 000,00"
Скамья модульная титан K09,Скамьи,,,,K09.jpeg,"710 000,00"
Скамья Алея K010,Скамьи,,,,K010.jpeg,"210 000,00"
Скамья K011,Скамьи,,,,K011.jpeg,"290 000,00"
Скамья с урной K012,Скамьи,,,,K012.jpeg,"250 000,00"
Скамья со спинкой K013,Скамьи,,,,K013.jpeg,"290 000,00"
Скамья премиум K014,Скамьи,,,,K014.jpeg,"250 000,00"
Скамья парка K015,Скамьи,,,,K015.jpeg,"290 000,00"
Скамья K016,Скамьи,,,,K016.jpeg,"140 000,00"
Скамья с навесом K043,Скамьи,,,,K043.jpeg,"540 000,00"
Пергола K026,Перголы,,,,K026.jpeg,"3 250 000,00"
Пергола Алейная K027,Перголы,,,,K027.jpeg,"4 350 000,00"
Пергола Теневая K028,Перголы,,,,K028.jpeg,"3 200 000,00"
Пергола С качелей K029,Перголы,,,,K029.jpeg,"5 650 000,00"
Пергола со скамьей K030,Перголы,,,,K030.jpeg,"1 200 000,00"
Пергола лесенка K031,Перголы,,,,K031.jpeg,"5 550 000,00"
Пергола сцена K032,Перголы,,,,K032.jpeg,"13 500 000,00"
Пергола сцена K033,Перголы,,,,K033.jpeg,"13 500 000,00"
Пергола парковая K034,Перголы,,,,K034.jpeg,"2 550 000,00"
Пергола тюльпан K035,Перголы,,,,K035.jpeg,"3 800 000,00"
Пергола K042,Перголы,,,,K042.jpeg,"4 450 000,00"
Пергола 6на3 K045,Перголы,,,,K045.jpeg,"2 800 000,00"
МАФ K036,МАФ,,,,K036.jpeg,"280 000,00"
МАФ K037,МАФ,,,,K037.jpeg,"2 200 000,00"
МАФ подиум K039,МАФ,,,,K039.jpeg,"2 800 000,00"
МАФ K041,МАФ,,,,K041.jpeg,"3 800 000,00"
МАФ K044,МАФ,,,,K044.jpeg,"2 500 000,00"
МАФ K046,МАФ,,,,K046.jpeg,"2 250 000,00"
МАФ K048,МАФ,,,,K048.jpeg,"1 900 000,00"
МАФ K049,МАФ,,,,K049.jpeg,"3 200 000,00"
Светильники для парков K050,Освещение,,,,K050.jpeg,"120 000,00"
Светильники для парков K051,Освещение,,,,K051.jpeg,"210 000,00"
Светильники K052,Освещение,,,,K052.jpeg,"210 000,00"
Светильники K053,Освещение,,,,K053.jpeg,"215 000,00"
Уличные тренажеры K054,Спортивное оборудование,,,,K054.jpeg,"2 550 000,00"
Уличные тренажеры K055,Спортивное оборудование,,,,K055.jpeg,"1 350 000,00"
Тренажеры K056,Спортивное оборудование,,,,K056.jpeg,"1 750 000,00"
Теневой навес K040,Спортивное оборудование,,,,K040.jpeg,"4 300 000,00"
Качели с навесом K047,Спортивное оборудование,,,,K047.jpeg,"6 300 000,00"
Тренажер Тяга верхняя K057,Спортивное оборудование,,,,K057.jpeg,"380 000,00"
Тренажер лыжный ход K058,Спортивное оборудование,,,,K058.jpeg,"315 000,00"
Тренажер жим от груди K059,Спортивное оборудование,,,,K059.jpeg,"380 000,00"
Тренажер для спины K060,Спортивное оборудование,,,,K060.jpeg,"190 000,00"
Тренажер для ног K061,Спортивное оборудование,,,,K061.jpeg,"280 000,00"
Тренажер Скамья для пресса K062,Спортивное оборудование,,,,K062.jpeg,"190 000,00"
Тренажер Шаговый K063,Спортивное оборудование,,,,K063.jpeg,"420 000,00"
Тренажер Твистер K064,Спортивное оборудование,,,,K064.jpeg,"290 000,00"
Тренажер Маятник K065,Спортивное оборудование,,,,K065.jpeg,290 000
Урна K086,Урны,,,,K086.jpeg,65 000
Урна K087,Урны,,,,K087.jpeg,65 000
Урна K088,Урны,,,,K088.jpeg,40 000
Урна K089,Урны,,,,K089.jpeg,55 000